site,depth,fraction.name,fraction.code,pct.n.pre.ashing,pct.c.pre.ashing,pct.n.post.ashing,pct.c.post.ashing,pct.mass.loss,c.in.org.fract,org.c.in.t.frac,n.in.org.fract,org.n.in.t.frac,species,mean.c.pre,mean.n.pre,mean.c.post,mean.n.post,mean.pct.mass.loss,fraction.id,c.in.org.fraction.bulk,org.c.in.total.bulk,n.in.org.fraction.bulk,org.n.in.total.bulk,sample,soil.start.wt,weight.g,orgc.weight,totwt,pct.c.cont.by.fraction
131N1,2,Sand + Agg,sa,0.07,1.57,0.004327847,0.660884211,2.707820489,34.23459387,0.927011347,2.429605049,0.065789343,fagus,2.631511717,0.166789963,0.941436945,0.002980409,5.274736019,fraction.sa,32.98237257,1.739733086,3.108530211,0.163966763,1B,10.301,3.634,0.033687592,0.198813284,16.94433677
131N1,2,Silt + Clay,sc,0.2,3.04,0.018821678,0.928187252,5.415800416,39.9217355,2.162081517,3.36418724,0.182197667,fagus,2.631511717,0.166789963,0.941436945,0.002980409,5.274736019,fraction.sc,32.98237257,1.739733086,3.108530211,0.163966763,1B,10.301,6.643,0.143627075,0.198813284,72.2421925
131N2,1,Silt + Clay,sc,0.522593619,7.087117119,0.003252869,0.257860967,17.02786378,40.36421982,6.873164366,3.053199455,0.519894644,picea_ab,6.609373771,0.415385387,0.794718158,0.004007525,14.47368421,fraction.sc,40.96870239,5.92968061,2.846254572,0.411957899,20A,10.478,6.574,0.451841825,0.683063907,66.14927549
131N2,1,Sand + Agg,sa,0.045418199,0.958939667,0.004118564,0.143899916,2.872062663,28.52210216,0.819172647,1.442096765,0.041417923,picea_ab,6.609373771,0.415385387,0.794718158,0.004007525,14.47368421,fraction.sa,40.96870239,5.92968061,2.846254572,0.411957899,20A,10.478,3.198,0.026197141,0.683063907,3.835240156
131N2,1,POM,pom,1.581747266,29.3768394,0.004250348,0.204496646,57.18157182,51.22153207,29.28927715,2.763000882,1.579927334,picea_ab,6.609373771,0.415385387,0.794718158,0.004007525,14.47368421,fraction.pom,40.96870239,5.92968061,2.846254572,0.411957899,20A,10.478,0.7,0.20502494,0.683063907,30.01548435
131N2,2,Silt + Clay,sc,0.251647726,3.558401857,0.002814328,0.589746264,9.576427256,31.5893614,3.025132215,2.601209234,0.24910291,picea_ab,3.226142801,0.19645388,0.889181596,0.038650886,4.285714286,fraction.sc,55.41827638,2.375068988,3.720720746,0.159459461,20B,10.701,7.123,0.215480168,0.29866052,72.14886239
131N2,2,Sand + Agg,sa,0.054047645,1.34559389,0.003689508,0.460765835,2.96735905,30.27947129,0.898500632,1.700758725,0.050467618,picea_ab,3.226142801,0.19645388,0.889181596,0.038650886,4.285714286,fraction.sa,55.41827638,2.375068988,3.720720746,0.159459461,20B,10.701,3.37,0.030279471,0.29866052,10.13842448
131N2,2,POM,pom,1.442441589,26.99228127,0.005538094,0.342257477,59.375,45.22650808,26.85323917,2.425586086,1.440191738,picea_ab,3.226142801,0.19645388,0.889181596,0.038650886,4.285714286,fraction.pom,55.41827638,2.375068988,3.720720746,0.159459461,20B,10.701,0.197,0.052900881,0.29866052,17.71271313
131V1,1,Sand + Agg,sa,0.2,3.02,0,0.48,6.17,41.64693679,2.569616,3.241491086,0.2,fraxinus,3.41186608,0.352040363,0.709395956,0.003964998,10.65088757,fraction.sa,26.08258769,2.77802709,3.272005926,0.348497672,5A,10.111,2.843,0.073054183,0.522029383,13.99426647
131V1,1,POM,pom,1.25,19.33,0,0.33,39,49.04794872,19.1287,3.205128205,1.25,fraxinus,3.41186608,0.352040363,0.709395956,0.003964998,10.65088757,fraction.pom,26.08258769,2.77802709,3.272005926,0.348497672,5A,10.111,0.602,0.115154774,0.522029383,22.05905985
