"site","species","depth","pct.mass.loss.fraction","pct.mass.loss.bulk","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.start.mass.bulk","sa","sc"
"130E","picea",1,14.77170994,17.44186047,10.542,7.328,0.421959831,0.781815028,0.003761305,0.039482913,NA,NA,0.880477756
"130E","picea",1,12.8745838,17.44186047,10.542,2.701,0.18677568,0.781815028,0.002698063,0.039482913,NA,0.880477756,NA
"130E","picea",1,48.61111111,17.44186047,10.542,0.696,0.173079517,0.781815028,0,0.039482913,0.880477756,NA,NA
"159P","picea",1,18.45238095,17.6056338,10.298,6.714,0.509680859,0.93101344,0.006958783,0.049184968,NA,NA,0.498371157
"159P","picea",1,9.819639279,17.6056338,10.298,2.342,0.104423617,0.93101344,0.007340854,0.049184968,NA,0.498371157,NA
"159P","picea",1,51.06761566,17.6056338,10.298,1.198,0.316908964,0.93101344,0.000198447,0.049184968,0.498371157,NA,NA
"158N","fraxinus",1,15.76253838,15.26717557,10.521,9.009,0.551055255,0.704352048,0.003269735,0.043367857,NA,NA,0.697378972
"158N","fraxinus",1,8.998732573,15.26717557,10.521,1.555,0.060036242,0.704352048,0.001610582,0.043367857,NA,0.697378972,NA
"158N","fraxinus",1,60.60606061,15.26717557,10.521,0.306,0.093260551,0.704352048,0.000156791,0.043367857,0.697378972,NA,NA
"156H","picea",1,17.72127516,16.22407187,10.367,0.653,0.041979215,0.621593501,0.000400485,0.057626976,0.801127478,NA,NA
"156H","picea",1,6.912541788,16.22407187,10.367,2.461,0.093312828,0.621593501,0.010787472,0.057626976,NA,0.801127478,NA
"156H","picea",1,15.68,16.22407187,10.367,7.115,0.486301459,0.621593501,0.030959041,0.057626976,NA,NA,0.801127478
"131V1","fraxinus",2,4.16,6.111111111,11.451,3.238,0.045169323,0.252129329,0.011171877,0.095593837,NA,0.218588964,NA
"131V1","fraxinus",2,46.15,6.111111111,11.451,0.1,0.027599195,0.252129329,0.000500805,0.095593837,0.218588964,NA,NA
"131V1","fraxinus",2,7.596671561,6.111111111,11.451,8.453,0.179360811,0.252129329,0.070002689,0.095593837,NA,NA,0.218588964
